NAMESPACE     NAME                                      READY   STATUS             RESTARTS      AGE   IP          NODE                     NOMINATED NODE   READINESS GATES
default       php-apache-deployment-66f8c5bb45-k5dr2    0/1     ImagePullBackOff   0             10m   10.42.0.4   k3d-mycluster-agent-0    <none>           <none>
kube-system   coredns-ccb96694c-lptv5                   1/1     Running            0             41m   10.42.1.3   k3d-mycluster-agent-1    <none>           <none>
kube-system   helm-install-traefik-8l8md                0/1     Completed          0             41m   10.42.1.2   k3d-mycluster-agent-1    <none>           <none>
kube-system   helm-install-traefik-crd-whwff            0/1     Completed          0             41m   10.42.0.2   k3d-mycluster-agent-0    <none>           <none>
kube-system   local-path-provisioner-5cf85fd84d-fr89v   1/1     Running            0             41m   10.42.2.3   k3d-mycluster-server-0   <none>           <none>
kube-system   metrics-server-5985cbc9d7-l4nsz           1/1     Running            0             41m   10.42.2.2   k3d-mycluster-server-0   <none>           <none>
kube-system   metrics-server-dfcd54975-pwx4n            0/1     Running            6 (42s ago)   10m   10.42.0.5   k3d-mycluster-agent-0    <none>           <none>
kube-system   svclb-php-apache-service-fde0befa-c9fzh   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-php-apache-service-fde0befa-tgw2q   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-php-apache-service-fde0befa-zhvlm   0/1     Pending            0             10m   <none>      <none>                   <none>           <none>
kube-system   svclb-traefik-d2f42e38-q5fcl              2/2     Running            0             34m   10.42.2.4   k3d-mycluster-server-0   <none>           <none>
kube-system   svclb-traefik-d2f42e38-r977k              2/2     Running            0             34m   10.42.0.3   k3d-mycluster-agent-0    <none>           <none>
kube-system   svclb-traefik-d2f42e38-vx9bb              2/2     Running            0             34m   10.42.1.4   k3d-mycluster-agent-1    <none>           <none>
kube-system   traefik-5d45fc8cc9-jqtd4                  1/1     Running            0             34m   10.42.1.5   k3d-mycluster-agent-1    <none>           <none>
